Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0F","C0603",38.070000,-75.000000,180.000000,bottom
"C2","0F","C0603",42.070000,-75.000000,180.000000,bottom
"C3","0F","C0603",46.070000,-75.000000,180.000000,bottom
"C4","0F","C0603",50.070000,-75.000000,180.000000,bottom
"C5","0F","C0603",54.070000,-75.000000,180.000000,bottom
"C6","0F","C0603",3.000000,-65.000000,180.000000,bottom
"C7","0F","C0603",3.000000,-65.000000,180.000000,bottom
"C8","0F","C0603",7.000000,-65.000000,180.000000,bottom
"C9","0F","C0603",11.000000,-65.000000,180.000000,bottom
"C10","0F","C0603",102.550000,-55.000000,180.000000,bottom
"C11","0F","C0603",106.550000,-55.000000,180.000000,bottom
"C12","0F","C0603",110.550000,-55.000000,180.000000,bottom
"C13","0F","C0603",114.550000,-55.000000,180.000000,bottom
"C14","0F","C0603",118.550000,-55.000000,180.000000,bottom
"C15","0F","C0603",122.550000,-55.000000,180.000000,bottom
"C16","0F","C0603",126.550000,-55.000000,180.000000,bottom
"C17","0F","C0603",130.550000,-55.000000,180.000000,bottom
"C18","0F","C0603",102.550000,-59.000000,180.000000,bottom
"C19","0F","C0603",106.550000,-59.000000,180.000000,bottom
"C20","0F","C0603",110.550000,-59.000000,180.000000,bottom
"C21","0F","C0603",114.550000,-59.000000,180.000000,bottom
"C22","0F","C0402",118.550000,-59.000000,180.000000,bottom
"C23","0F","C0402",122.550000,-59.000000,180.000000,bottom
"C24","0F","C0402",126.550000,-59.000000,180.000000,bottom
"C25","0F","C0603",130.550000,-59.000000,180.000000,bottom
"C26","0F","C0603",79.440000,-25.000000,180.000000,bottom
"C27","0F","C0603",75.440000,-25.000000,180.000000,bottom
"C28","0F","C0603",122.550000,-100.000000,180.000000,bottom
"C29","0F","C0603",134.550000,-100.000000,180.000000,bottom
"C30","0F","C0603",146.550000,-100.000000,180.000000,bottom
"C31","0F","C0603",126.550000,-104.000000,180.000000,bottom
"C32","0F","C0603",138.550000,-104.000000,180.000000,bottom
"C33","0F","C0603",150.550000,-104.000000,180.000000,bottom
"C34","0F","C0603",38.070000,-110.000000,180.000000,bottom
"C35","0F","C0603",42.070000,-110.000000,180.000000,bottom
"C36","0F","C0603",46.070000,-110.000000,180.000000,bottom
"C37","0F","C0603",50.070000,-110.000000,180.000000,bottom
"C38","0F","C0603",75.440000,-50.000000,180.000000,bottom
"C39","0F","C0603",144.000000,-35.000000,180.000000,bottom
"C40","0F","C0603",3.000000,-108.000000,180.000000,bottom
"C41","0F","C0603",7.000000,-108.000000,180.000000,bottom
"C42","0F","C0603",3.000000,-108.000000,180.000000,bottom
"C43","0F","C0603",11.000000,-108.000000,180.000000,bottom
"C44","0F","C0603",19.000000,-108.000000,180.000000,bottom
"C45","0F","C0603",15.000000,-108.000000,180.000000,bottom
"C46","0F","C0603",23.000000,-108.000000,180.000000,bottom
"C47","0F","C0603",27.000000,-108.000000,180.000000,bottom
"R1","10000Ω","R0603",58.070000,-75.000000,180.000000,bottom
"R2","10000Ω","R0603",38.070000,-83.000000,180.000000,bottom
"R3","10000Ω","R0603",50.070000,-87.000000,180.000000,bottom
"R4","10000Ω","R0603",62.070000,-91.000000,180.000000,bottom
"R5","10000Ω","R0603",38.070000,-95.000000,180.000000,bottom
"R6","10000Ω","R0603",42.070000,-95.000000,180.000000,bottom
"R7","10000Ω","R0603",46.070000,-95.000000,180.000000,bottom
"R8","10000Ω","R0603",50.070000,-95.000000,180.000000,bottom
"R9","10000Ω","R0603",54.070000,-95.000000,180.000000,bottom
"R10","10000Ω","R0603",62.070000,-75.000000,180.000000,bottom
"R11","10000Ω","R0603",66.069999,-75.000000,180.000000,bottom
"R12","10000Ω","R0603",38.070000,-79.000000,180.000000,bottom
"R13","10000Ω","R0603",42.070000,-79.000000,180.000000,bottom
"R14","10000Ω","R0603",46.070000,-79.000000,180.000000,bottom
"R15","10000Ω","R0603",50.070000,-79.000000,180.000000,bottom
"R16","10000Ω","R0603",54.070000,-79.000000,180.000000,bottom
"R17","10000Ω","R0603",58.070000,-79.000000,180.000000,bottom
"R18","10000Ω","R0603",62.070000,-79.000000,180.000000,bottom
"R19","10000Ω","R0603",66.069999,-79.000000,180.000000,bottom
"R20","10000Ω","R0603",42.070000,-83.000000,180.000000,bottom
"R21","10000Ω","R0603",46.070000,-83.000000,180.000000,bottom
"R22","10000Ω","R0603",50.070000,-83.000000,180.000000,bottom
"R23","10000Ω","R0603",54.070000,-83.000000,180.000000,bottom
"R24","10000Ω","R0603",58.070000,-83.000000,180.000000,bottom
"R25","10000Ω","R0603",62.070000,-83.000000,180.000000,bottom
"R26","10000Ω","R0603",66.069999,-83.000000,180.000000,bottom
"R27","10000Ω","R0603",38.070000,-87.000000,180.000000,bottom
"R28","10000Ω","R0603",42.070000,-87.000000,180.000000,bottom
"R29","10000Ω","R0603",46.070000,-87.000000,180.000000,bottom
"R30","10000Ω","R0603",54.070000,-87.000000,180.000000,bottom
"R31","10000Ω","R0603",58.070000,-87.000000,180.000000,bottom
"R32","10000Ω","R0603",62.070000,-87.000000,180.000000,bottom
"R33","10000Ω","R0603",66.069999,-87.000000,180.000000,bottom
"R34","10000Ω","R0603",38.070000,-91.000000,180.000000,bottom
"R35","10000Ω","R0603",42.070000,-91.000000,180.000000,bottom
"R36","10000Ω","R0603",46.070000,-91.000000,180.000000,bottom
"R37","10000Ω","R0603",50.070000,-91.000000,180.000000,bottom
"R38","10000Ω","R0603",54.070000,-91.000000,180.000000,bottom
"R39","10000Ω","R0603",58.070000,-91.000000,180.000000,bottom
"R40","10000Ω","R0603",66.069999,-91.000000,180.000000,bottom
"R41","1000Ω","R0603",102.550000,-63.000000,180.000000,bottom
"R42","1000Ω","R0603",106.550000,-63.000000,180.000000,bottom
"R43","1000Ω","R0603",110.550000,-63.000000,180.000000,bottom
"R44","1000Ω","R0603",114.550000,-63.000000,180.000000,bottom
"R45","20000Ω","R0603",122.550000,-63.000000,180.000000,bottom
"R46","10000Ω","R0603",126.550000,-63.000000,180.000000,bottom
"R47","1000Ω","R0603",118.550000,-63.000000,180.000000,bottom
"R48","20000Ω","R0603",102.550000,-67.000000,180.000000,bottom
"R49","10000Ω","R0603",106.550000,-67.000000,180.000000,bottom
"R50","1000Ω","R0603",130.550000,-63.000000,180.000000,bottom
"R51","20000Ω","R0603",114.550000,-67.000000,180.000000,bottom
"R52","10000Ω","R0603",118.550000,-67.000000,180.000000,bottom
"R53","1000Ω","R0603",110.550000,-67.000000,180.000000,bottom
"R54","20000Ω","R0603",126.550000,-67.000000,180.000000,bottom
"R55","10000Ω","R0603",130.550000,-67.000000,180.000000,bottom
